512	976	10	0.30

19	 3	 0
106	 13	 0
219	 -7	 0
348	 -11	 0
417	 9	 0
488	 5	 0
610	 6	 0
672	 -8	 9
806	 -11	 9
865	 -41	 9
964	 24	 9
1105	 31	 9
1231	 26	 9
1324	 -37	 9
1381	 42	 7
1491	 9	 7
1617	 2	 7
1720	 10	 7
1795	 -7	 4
1906	 29	 4
1988	 -12	 4
2104	 4	 4
2204	 12	 4
2286	 44	 4
2404	 14	 4
2464	 35	 4
2573	 -36	 4
2690	 -19	 3
2792	 -5	 3
2926	 -9	 3
3045	 -23	 3
3087	 -12	 3
13	 97	 0
114	 132	 0
177	 130	 0
297	 104	 0
359	 128	 0
526	 103	 0
574	 62	 0
659	 53	 9
789	 95	 9
885	 93	 9
981	 115	 9
1143	 106	 9
1171	 100	 9
1282	 95	 7
1398	 94	 7
1529	 94	 7
1636	 108	 7
1682	 95	 7
1773	 88	 4
1907	 102	 4
1965	 91	 4
2078	 126	 4
2190	 91	 4
2310	 86	 4
2398	 118	 4
2481	 100	 3
2595	 131	 3
2734	 78	 3
2824	 112	 3
2877	 134	 3
3037	 78	 3
3071	 114	 3
8	 208	 0
125	 185	 0
203	 173	 0
291	 174	 0
408	 171	 0
487	 172	 0
573	 174	 0
686	 161	 9
786	 194	 9
937	 180	 9
996	 229	 9
1085	 177	 9
1218	 178	 7
1310	 215	 7
1390	 187	 7
1521	 231	 7
1632	 185	 7
1691	 169	 7
1817	 195	 4
1876	 176	 4
2009	 214	 4
2109	 154	 4
2174	 199	 4
2335	 164	 4
2408	 193	 4
2532	 195	 3
2600	 204	 3
2687	 205	 3
2794	 189	 3
2921	 169	 3
3019	 222	 3
3097	 206	 3
6	 286	 0
101	 280	 0
205	 303	 0
315	 316	 0
410	 282	 0
507	 318	 0
590	 304	 0
686	 290	 9
788	 309	 9
920	 289	 9
1012	 318	 9
1089	 307	 9
1209	 300	 7
1288	 334	 7
1402	 304	 7
1481	 289	 7
1630	 270	 7
1687	 280	 7
1809	 289	 4
1893	 295	 4
2013	 279	 4
2126	 303	 4
2201	 295	 4
2291	 331	 4
2354	 286	 4
2509	 304	 3
2613	 324	 3
2700	 295	 3
2842	 304	 3
2904	 303	 3
3017	 331	 3
3116	 294	 3
32	 382	 0
77	 403	 0
196	 373	 0
298	 379	 0
359	 425	 0
496	 421	 0
596	 381	 0
681	 398	 9
779	 382	 9
931	 385	 9
991	 435	 9
1110	 406	 9
1181	 403	 7
1294	 445	 7
1409	 422	 7
1500	 380	 7
1615	 420	 7
1731	 369	 7
1802	 414	 7
1913	 400	 4
2024	 394	 4
2070	 388	 4
2177	 435	 4
2279	 425	 4
2419	 378	 4
2530	 385	 3
2614	 366	 3
2689	 356	 3
2795	 405	 3
2881	 400	 3
2974	 394	 3
3075	 403	 3
-17	 518	 9
108	 496	 0
211	 528	 0
302	 455	 0
428	 503	 0
533	 498	 9
622	 494	 9
705	 512	 9
794	 539	 9
893	 489	 9
1001	 489	 9
1085	 491	 9
1194	 495	 9
1298	 507	 7
1404	 510	 7
1506	 493	 7
1575	 485	 7
1691	 495	 7
1766	 487	 7
1933	 535	 7
1992	 479	 4
2067	 480	 4
2201	 495	 4
2291	 505	 4
2393	 495	 4
2489	 505	 4
2598	 511	 4
2740	 465	 3
2804	 485	 3
2938	 522	 3
3011	 538	 3
3058	 491	 3
23	 611	 9
60	 616	 9
215	 560	 0
306	 594	 0
378	 569	 9
503	 615	 9
624	 640	 9
706	 598	 9
826	 561	 9
875	 611	 9
994	 611	 9
1098	 612	 9
1186	 620	 7
1323	 571	 7
1388	 587	 7
1494	 597	 7
1585	 565	 7
1713	 569	 7
1781	 580	 7
1901	 617	 7
1997	 620	 7
2117	 592	 4
2187	 624	 7
2302	 647	 4
2412	 593	 4
2524	 590	 4
2581	 595	 4
2721	 575	 3
2780	 623	 3
2875	 603	 4
2997	 560	 3
3099	 621	 4
17	 695	 9
106	 721	 9
196	 668	 9
318	 664	 9
411	 710	 9
487	 675	 9
569	 685	 9
678	 709	 9
761	 708	 9
892	 696	 9
1008	 676	 9
1112	 672	 9
1182	 694	 7
1282	 703	 7
1401	 696	 7
1478	 695	 7
1608	 715	 7
1692	 693	 7
1833	 698	 7
1945	 712	 7
1986	 707	 7
2103	 713	 7
2170	 720	 7
2296	 706	 4
2394	 709	 4
2475	 696	 4
2578	 699	 4
2708	 672	 4
2787	 699	 4
2930	 703	 4
2998	 686	 4
3134	 704	 4
-11	 827	 9
132	 821	 9
187	 830	 9
299	 789	 9
384	 814	 9
510	 807	 9
604	 811	 9
733	 834	 8
813	 813	 8
868	 802	 9
995	 762	 8
1100	 815	 8
1201	 809	 7
1286	 819	 7
1370	 811	 7
1527	 819	 7
1619	 804	 7
1700	 827	 7
1818	 817	 7
1881	 785	 7
1996	 817	 7
2067	 756	 7
2229	 774	 4
2282	 794	 4
2412	 815	 4
2461	 814	 4
2613	 816	 4
2697	 811	 4
2816	 837	 4
2923	 816	 4
3017	 790	 4
3104	 818	 4
47	 906	 1
94	 906	 1
197	 919	 1
305	 918	 1
379	 904	 1
505	 938	 9
562	 900	 9
700	 903	 8
803	 891	 8
920	 881	 8
969	 863	 8
1129	 893	 7
1184	 932	 7
1306	 899	 6
1408	 947	 6
1490	 911	 6
1626	 941	 6
1694	 860	 7
1797	 907	 7
1913	 887	 7
1989	 909	 7
2083	 908	 5
2187	 889	 5
2286	 896	 4
2418	 912	 4
2519	 901	 4
2606	 875	 4
2695	 891	 4
2788	 902	 2
2897	 891	 2
3005	 880	 2
3103	 908	 4
26	 982	 1
128	 1001	 1
166	 992	 1
337	 1017	 1
423	 973	 1
505	 1008	 1
585	 992	 9
725	 998	 8
803	 995	 8
901	 1032	 8
997	 1013	 8
1111	 1008	 8
1191	 996	 7
1326	 1035	 6
1419	 997	 6
1502	 1023	 6
1601	 977	 6
1676	 1030	 6
1793	 982	 7
1879	 990	 7
1960	 1005	 5
2112	 1035	 5
2211	 991	 5
2295	 1042	 5
2391	 956	 4
2465	 1030	 4
2635	 995	 2
2675	 984	 4
2803	 1042	 2
2903	 967	 2
3035	 1034	 2
3071	 994	 2
12	 1084	 1
92	 1144	 1
199	 1079	 1
291	 1101	 1
416	 1113	 1
488	 1086	 1
627	 1059	 8
686	 1111	 8
794	 1068	 8
948	 1087	 8
988	 1106	 8
1084	 1086	 8
1207	 1083	 6
1265	 1078	 6
1389	 1104	 6
1466	 1137	 6
1607	 1090	 6
1695	 1106	 6
1766	 1098	 6
1893	 1105	 5
1996	 1107	 5
2124	 1077	 5
2178	 1099	 5
2282	 1101	 5
2379	 1136	 4
2529	 1124	 2
2649	 1129	 2
2675	 1111	 2
2757	 1073	 2
2901	 1085	 2
3013	 1108	 2
3119	 1105	 2
-13	 1225	 1
112	 1219	 1
215	 1197	 1
281	 1190	 1
408	 1229	 1
515	 1162	 1
619	 1213	 1
709	 1160	 8
783	 1172	 8
888	 1217	 8
1028	 1202	 8
1098	 1215	 6
1238	 1192	 6
1289	 1179	 6
1400	 1189	 6
1461	 1232	 6
1644	 1193	 6
1736	 1190	 6
1808	 1250	 5
1870	 1177	 5
2019	 1197	 5
2107	 1235	 5
2214	 1205	 5
2279	 1212	 5
2402	 1206	 5
2506	 1216	 2
2610	 1178	 2
2699	 1196	 2
2785	 1205	 2
2890	 1193	 2
2994	 1192	 2
3091	 1207	 2
-10	 1308	 1
126	 1261	 1
207	 1300	 1
290	 1303	 1
368	 1306	 1
502	 1313	 1
577	 1278	 1
694	 1289	 8
823	 1282	 8
910	 1340	 8
1003	 1313	 8
1091	 1308	 6
1186	 1263	 6
1328	 1311	 6
1415	 1287	 6
1507	 1311	 6
1595	 1306	 6
1696	 1264	 6
1817	 1301	 5
1919	 1293	 5
2008	 1304	 5
2123	 1296	 5
2225	 1302	 5
2295	 1284	 5
2367	 1311	 5
2493	 1329	 2
2610	 1323	 2
2714	 1295	 2
2798	 1322	 2
2899	 1286	 2
3004	 1291	 2
3131	 1316	 2
15	 1403	 1
90	 1401	 1
209	 1370	 1
322	 1413	 1
404	 1429	 1
523	 1429	 1
609	 1407	 8
690	 1396	 8
795	 1408	 8
939	 1401	 8
1017	 1406	 8
1065	 1367	 8
1203	 1440	 8
1306	 1437	 6
1384	 1380	 6
1467	 1432	 6
1633	 1380	 6
1732	 1409	 5
1813	 1374	 5
1866	 1390	 5
1999	 1402	 5
2081	 1395	 5
2197	 1373	 5
2341	 1391	 5
2381	 1410	 5
2507	 1441	 2
2594	 1401	 2
2723	 1399	 2
2812	 1388	 2
2912	 1414	 2
2980	 1430	 2
3057	 1415	 2
21	 1497	 1
95	 1468	 1
201	 1481	 1
319	 1503	 1
411	 1473	 1
487	 1539	 8
602	 1458	 8
722	 1491	 8
794	 1468	 8
912	 1477	 8
1001	 1526	 8
1065	 1518	 8
1232	 1539	 6
1283	 1536	 6
1397	 1480	 6
1456	 1464	 6
1591	 1464	 6
1685	 1491	 6
1781	 1497	 5
1912	 1470	 5
2021	 1497	 5
2101	 1541	 5
2212	 1489	 5
2346	 1451	 5
2419	 1516	 5
2492	 1478	 5
2598	 1490	 2
2686	 1519	 2
2782	 1453	 2
2868	 1487	 2
2992	 1488	 2
3070	 1547	 2

0	 1	 163	 17.00
0	 32	 225	 23.00
1	 2	 194	 17.00
1	 33	 222	 23.00
2	 3	 155	 23.00
2	 34	 193	 17.00
3	 4	 273	 22.00
3	 35	 249	 19.00
4	 5	 145	 22.00
4	 36	 175	 16.00
5	 6	 263	 18.00
5	 37	 247	 16.00
6	 7	 171	 21.00
6	 38	 227	 21.00
7	 8	 246	 20.00
7	 39	 190	 21.00
8	 9	 204	 24.00
8	 40	 161	 21.00
9	 10	 273	 18.00
9	 41	 152	 24.00
10	 11	 270	 16.00
10	 42	 120	 17.00
11	 12	 272	 16.00
11	 43	 253	 22.00
12	 13	 178	 21.00
12	 44	 275	 19.00
13	 14	 252	 23.00
13	 45	 187	 24.00
14	 15	 269	 19.00
14	 46	 190	 22.00
15	 16	 228	 18.00
15	 47	 245	 21.00
16	 17	 181	 23.00
16	 48	 176	 20.00
17	 18	 194	 24.00
17	 49	 138	 22.00
18	 19	 204	 18.00
18	 50	 146	 17.00
19	 20	 278	 17.00
19	 51	 205	 22.00
20	 21	 264	 18.00
20	 52	 236	 24.00
21	 22	 252	 22.00
21	 53	 235	 21.00
22	 23	 215	 23.00
22	 54	 136	 17.00
23	 24	 264	 23.00
23	 55	 264	 17.00
24	 25	 252	 17.00
24	 56	 147	 23.00
25	 26	 174	 21.00
25	 57	 234	 22.00
26	 27	 232	 24.00
26	 58	 247	 19.00
27	 28	 234	 18.00
27	 59	 215	 21.00
28	 29	 122	 19.00
28	 60	 124	 24.00
29	 30	 252	 22.00
29	 61	 143	 23.00
30	 31	 194	 16.00
30	 62	 193	 23.00
31	 63	 120	 21.00
32	 33	 166	 23.00
32	 64	 254	 22.00
